CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
941880,East of England,NULL,Norfolk,548026,307378,52.64395243,0.186395015,C,NULL,CU,NULL
941882,East of England,NULL,Norfolk,549109,313165,52.69564085,0.205005197,U,NULL,UU,NULL
941884,East of England,NULL,Norfolk,649492,319419,52.71485982,1.692483304,C,NULL,CU,NULL
941886,East of England,NULL,Norfolk,564682,319746,52.75024047,0.438526881,U,NULL,UU,NULL
941888,East of England,NULL,Norfolk,620646,308883,52.6328197,1.25914805,C802,NULL,CU,NULL
941890,East of England,NULL,Norfolk,623430,308146,52.62506742,1.299716591,C863,NULL,CU,NULL
941891,East of England,NULL,Norfolk,624263,307112,52.61544442,1.311300702,C202,NULL,CU,NULL
941892,East of England,NULL,Norfolk,567323,340925,52.93963768,0.488473352,U,NULL,UU,NULL
941894,East of England,NULL,Norfolk,605565,332791,52.85335496,1.051611508,U,NULL,UU,NULL
941896,East of England,NULL,Norfolk,564326,319832,52.75112113,0.433300545,U,NULL,UU,NULL
941898,East of England,NULL,Norfolk,622498,309283,52.63565432,1.286736366,U,NULL,UU,NULL
941902,East of England,NULL,Norfolk,586092,334060,52.87182565,0.7635084,U,NULL,UR,NULL
941904,East of England,NULL,Norfolk,610120,318274,52.7212909,1.109841582,U,NULL,UR,NULL
941906,East of England,NULL,Norfolk,651900,302090,52.55829131,1.714845404,U,NULL,UR,NULL
941908,East of England,NULL,Norfolk,647780,303356,52.57153893,1.655143873,U,NULL,UU,NULL
941912,East of England,NULL,Norfolk,569533,327445,52.81788554,0.514310498,C473,NULL,UR,NULL
941914,East of England,NULL,Norfolk,579200,333891,52.87264539,0.66113701,U,NULL,UR,NULL
941918,East of England,NULL,Norfolk,625032,329207,52.81341615,1.33775458,U,NULL,UR,NULL
941920,East of England,NULL,Norfolk,577968,321993,52.76621114,0.636375665,C,NULL,CR,NULL
941922,East of England,NULL,Norfolk,607957,311322,52.65972003,1.073475283,U,NULL,UR,NULL
941924,East of England,NULL,Norfolk,571323,317320,52.72639079,0.535553182,C64,NULL,CR,NULL
941926,East of England,NULL,Norfolk,647913,317196,52.69564187,1.667482905,U,NULL,UR,NULL
941928,East of England,NULL,Norfolk,566168,291104,52.49253806,0.446132222,U,NULL,UR,NULL
941930,East of England,NULL,Norfolk,611909,293764,52.50058346,1.120595001,U,NULL,UR,NULL
941932,East of England,NULL,Norfolk,591888,308821,52.64318435,0.834750751,C126,NULL,CR,NULL
941934,East of England,NULL,Norfolk,646668,322379,52.74270826,1.65298627,U,NULL,UR,NULL
941935,East of England,NULL,Norfolk,577540,332646,52.86201526,0.635823007,U,NULL,UR,NULL
941936,East of England,NULL,Norfolk,577298,325037,52.79376652,0.628103506,U,NULL,UR,NULL
941938,East of England,NULL,Norfolk,601786,332296,52.85033946,0.995264022,U,NULL,UR,NULL
941940,East of England,NULL,Norfolk,582729,336587,52.89566771,0.715020629,U,NULL,UR,NULL
941942,East Midlands,NULL,Nottinghamshire,461602,331531,52.87773009,-1.086123668,C,NULL,CR,NULL
941944,East of England,NULL,Norfolk,569170,334732,52.88344222,0.512707381,U,NULL,UR,NULL
941946,East of England,NULL,Norfolk,652801,301909,52.55625022,1.727969499,U,NULL,UU,NULL
941948,East of England,NULL,Norfolk,564404,320187,52.75428583,0.434632925,U,NULL,UU,NULL
941952,East of England,NULL,Norfolk,562313,318857,52.74297179,0.403021615,U,NULL,UU,NULL
941954,East of England,NULL,Norfolk,613536,310940,52.65412487,1.155586429,U,NULL,UU,NULL
941956,East Midlands,NULL,Nottinghamshire,473750,372100,53.2408153,-0.896377329,C,NULL,CR,NULL
941957,East of England,NULL,Norfolk,622838,310444,52.64593477,1.292535107,U,NULL,UU,NULL
941958,East of England,NULL,Norfolk,622905,305449,52.60107768,1.290157012,U,NULL,UU,NULL
941960,East of England,NULL,Norfolk,620135,308833,52.63257824,1.251576724,U,NULL,UU,NULL
941962,East of England,NULL,Norfolk,627335,309764,52.63796823,1.358418356,U,NULL,UU,NULL
941964,East of England,NULL,Norfolk,621706,307376,52.61886275,1.273773961,C,NULL,CU,NULL
941966,East of England,NULL,Norfolk,617307,313770,52.67802918,1.213108457,U,NULL,UU,NULL
941968,East of England,NULL,Norfolk,561581,318653,52.7413586,0.392087913,U,NULL,UU,NULL
941970,East of England,NULL,Norfolk,614717,342766,52.93931618,1.193893649,U,NULL,UU,NULL
941972,East of England,NULL,Norfolk,563630,321875,52.76968128,0.424017351,U,NULL,UU,NULL
941976,East of England,NULL,Norfolk,624223,311620,52.65591883,1.313769524,U,NULL,UU,NULL
941978,East of England,NULL,Norfolk,588913,304694,52.60717082,0.788478376,U,NULL,UU,NULL
941979,East of England,NULL,Norfolk,623129,308571,52.62900541,1.295564164,U,NULL,UU,NULL
941980,East of England,NULL,Norfolk,637341,325006,52.7704508,1.516994443,U,NULL,UU,NULL
941982,East of England,NULL,Peterborough,527610,300412,52.58654523,-0.117849106,B1040,NULL,BR,NULL
941984,East of England,NULL,Peterborough,526344,305290,52.63066943,-0.13466333,B1443,NULL,BR,NULL
941986,East of England,NULL,Peterborough,511192,305839,52.63891474,-0.358247284,B1443,NULL,BR,NULL
941988,East of England,NULL,Peterborough,519792,306358,52.64174987,-0.231032478,B1443,NULL,BR,NULL
941990,East of England,NULL,Peterborough,514986,306994,52.64850349,-0.301804183,C,NULL,CR,NULL
941992,East of England,NULL,Peterborough,518286,304809,52.62816132,-0.2538326,C,NULL,CR,NULL
941994,East of England,NULL,Peterborough,521375,308155,52.65754502,-0.206989311,C,NULL,CR,NULL
941996,East of England,NULL,Peterborough,514405,296570,52.55495751,-0.31398872,C,NULL,CU,NULL
941998,East of England,NULL,Peterborough,518617,300540,52.5897298,-0.250474364,C,NULL,CU,NULL
942001,East of England,NULL,Peterborough,518152,295455,52.54413884,-0.259145333,U,NULL,UR,NULL
942002,East of England,NULL,Peterborough,517519,294331,52.53417569,-0.268872363,U,NULL,UR,NULL
942010,East of England,NULL,Peterborough,516740,304963,52.62987942,-0.2766081,U,NULL,UU,NULL
942012,East of England,NULL,Peterborough,517193,302463,52.6073178,-0.270803867,U,NULL,UU,NULL
942014,East of England,NULL,Peterborough,517215,303949,52.62066574,-0.269952847,U,NULL,UU,NULL
942016,East of England,NULL,Peterborough,517621,300853,52.5927585,-0.265058313,U,NULL,UU,NULL
942018,East of England,NULL,Peterborough,514820,296015,52.54988303,-0.308062328,U,NULL,UU,NULL
942020,East of England,NULL,Peterborough,519370,300012,52.58482078,-0.239554827,U,NULL,UU,NULL
942022,East of England,NULL,Peterborough,515024,294857,52.53943431,-0.305455979,U,NULL,UU,NULL
