year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,73659,Estimated,Estimated using previous year's AADF on this link,25,96,11407,42,1886,151,36,35,9,28,48,307,13738
2016,73660,Estimated,Estimated using previous year's AADF on this link,6,51,7927,33,1900,187,15,11,16,28,19,276,10186
2016,73661,Counted,Manual count,21,71,6787,34,972,102,17,15,18,23,19,193,8057
2016,73662,Estimated,Estimated using previous year's AADF on this link,32,114,19222,358,4928,284,117,170,45,216,310,1143,25765
2016,73663,Counted,Dependent on a neighbouring counted link,29,57,12031,69,1740,149,52,55,21,55,45,378,14275
2016,73664,Counted,Dependent on a neighbouring counted link,55,79,10776,114,1584,222,28,45,30,29,29,383,12936
2016,73665,Estimated,Estimated using previous year's AADF on this link,8,5,806,23.19,190,6,1,3,0.56,1,10,21,1023
2016,73666,Estimated,Estimated using previous year's AADF on this link,6,21,3170,5,696,71,6,9,12,9,9,117,4010
2016,73667,Estimated,Estimated using previous year's AADF on this link,4,28,2521,6,668,29,6,6,1,10,7,59,3282
2016,73668,Counted,Dependent on a neighbouring counted link,5,160,32748,138,5274,674,123,327,87,557,1324,3092,41411
2016,73669,Counted,Dependent on a neighbouring counted link,22.02,234,82162,263,16180,1887,388,758,352,1552,4948,9884,108724
2016,73670,Counted,Dependent on a neighbouring counted link,64,63,13198,357,1375,100,14,10,6,20,15,165,15158
2016,73671,Estimated,Estimated using previous year's AADF on this link,61,164,17571,69,4927,593,143,176,74,414,456,1856,24587
2016,73672,Estimated,Estimated using previous year's AADF on this link,65,75,9512,38,1665,239,34,51,14,52,60,450,11740
2016,73673,Estimated,Estimated using previous year's AADF on this link,20.23,165,43356,187,9339,936,175,265,147,248,3087,4857,57905
2016,73674,Estimated,Estimated using previous year's AADF on this link,73,84,21014,349,3627,166,42,36,14,22,27,307,25382
2016,73675,Estimated,Estimated using previous year's AADF on this link,95,131,18184,610,3286,200,45,50,7,16,17,334,22545
2016,73677,Estimated,Estimated using previous year's AADF on this link,34.62,170,48283,266,11748,890,320,374,110,227,1026,2947,63412
2016,73678,Estimated,Estimated using previous year's AADF on this link,108,26,11972,282,1905,159,21,10,1,8.18,1,192,14376
